collected_from_url;id;thread_id;author;author_full;author_followers;author_likes;author_videos;author_avatar;body;stickers;timestamp;unix_timestamp;is_duet;is_ad;is_paid_partnership;is_sensitive;is_photosensitive;music_name;music_id;music_url;music_thumbnail;music_author;video_url;tiktok_url;thumbnail_url;likes;comments;shares;plays;hashtags;challenges;diversification_labels;location_created;effects;warning
https://www.tiktok.com/search?q=#amigurumi&t=1786116607011;7665749683641388309;7665749683641388309;crochemel_;Stef🍯 amigurumis;1219;16000;115;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/5dd8ab3703dc48ada1d504a869bdcfa4~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=8fbe7700&x-expires=1786287600&x-signature=vZJQ4QEtNcaLQj6tSz%2BK57UxqOo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Mesinha na feira de hoje 💖 #crochet #amigurumi #fyp #artesanato ;;2026-07-23 15:44:03;1784821443;no;no;no;no;no;Married Life;6744202642718722050;https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/o84mIoiBnNfAD4kOszt1WUGMx1ibbsBGhKAxmw;https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/oQGBTAitYIBAs5wOLmAQi81Af4oAAzEWpWEHdb.jpeg;Michael Giacchino;https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-ve-37c815-sg/oMoCx3KAFGgGLPNGQGojK9ezIfDLmYIUAIeET9/?a=1988&bti=ODszNWYuMDE6&&bt=1829&ft=-Csk_mrMPD12NxzDvn-UxGe5PY6e3wv25UcAp&mime_type=video_mp4&rc=ZTY3Mzs4NDVlNDc2NTg6aUBpM3kzdm05cnk2PDMzODczNEBhMDM2YzYxNi4xXl9hMGIxYSNzNmk2MmRrYGVhLS1kMTFzcw%3D%3D&expire=1786289433&l=2026080723300738893901676D6B9314FE&ply_type=2&policy=2&signature=350c093e29e831ee335c7756a1ea20a0&tk=tt_chain_token&btag=e000b8000;https://www.tiktok.com/@crochemel_/video/7665749683641388309;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/ok9GsTAogIBVPaKUAeG6INIiezI9iCDofGNjxL~tplv-tiktokx-origin.image?dr=14575&x-expires=1786287600&x-signature=%2FfseekRSPAVw9rYa%2BHTiH1Vv8mk%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;3092;49;183;22700;crochet,amigurumi,fyp,artesanato;crochet,amigurumi,fyp,artesanato;;;;
https://www.tiktok.com/search?q=#amigurumi&t=1786116607011;7484028039605652742;7484028039605652742;jojubacroche;jojubacroche;4437;4070;161;https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/25a1fb20e18a305918db48c2eb3a9e7a~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=077224fe&x-expires=1786287600&x-signature=1CzZs34sM92L0EJYFJUxkR398AU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Dica de como subir sua carreira do amigurumi reta ✨💜 #amigurumi #crochê #dicadecroche #crocheteira;;2025-03-20 22:51:13;1742511073;no;no;no;no;no;som original;7484028077120080645;https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-v-27dcd7/owGIUAESEFCyk3AQIJUDJpYsJiNAvzn5nB9fBe/?a=1988&bti=ODszNWYuMDE6&&bt=125&ft=GNDpcInz7Th8bzWGXq8Zmo&mime_type=audio_mpeg&rc=amtrcXM5cnQ8eTMzNzU8M0BpamtrcXM5cnQ8eTMzNzU8M0AxYGlwMmRja2JgLS1kMTZzYSMxYGlwMmRja2JgLS1kMTZzcw%3D%3D&expire=1786120263&l=2026080723300738893901676D6B9314FE&ply_type=3&policy=3&signature=2d3a34871e49b227d79bf3f43fa8a914&tk=0&btag=e00050000;https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/25a1fb20e18a305918db48c2eb3a9e7a~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=e46d0fe0&x-expires=1786287600&x-signature=NiGVM9GGCYd%2BwQ0ecuZQWDjXjHM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;jojubacroche;https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-ve-37c813-sg/oMaA3C8QfguwPthSriCYjiASw4ASXjIeMceTW5/?a=1988&bti=ODszNWYuMDE6&&bt=908&ft=-Csk_mrMPD12NxzDvn-UxGe5PY6e3wv25UcAp&mime_type=video_mp4&rc=Ozk6ZjVpNjlmZjszNTZnOkBpM3BrcXU5cjg8eTMzNzczM0BeNGNiLS80NmExMTNeLV41YSNybGxmMmRramJgLS1kMTZzcw%3D%3D&expire=1786289463&l=2026080723300738893901676D6B9314FE&ply_type=2&policy=2&signature=50b2fa2caa94861dc0e4d3177c934f22&tk=tt_chain_token&btag=e00090000;https://www.tiktok.com/@jojubacroche/video/7484028039605652742;https://p16-common-sign.tiktokcdn.com/tos-maliva-p-0068/ooFAtiIQQCgPtfueeNLS5AO448YIKIAVGCTjGu~tplv-tiktokx-origin.image?dr=14575&x-expires=1786287600&x-signature=x87GPIm7r4XG3jmSrhdGYtABkPU%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;7684;192;341;107900;amigurumi,crochê,dicadecroche,crocheteira;amigurumi,crochê,dicadecroche,crocheteira;;;;
https://www.tiktok.com/search?q=#amigurumi&t=1786116607011;7652829874108878087;7652829874108878087;marioliveiraatelie;Mari Oliveira;40900;53700;157;https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/032056785121b220c05bc36b4881e1a6~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=ea4d8c9d&x-expires=1786287600&x-signature=FNiwPKkvXf0OpgW1Es%2FcuH8bY1o%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Girafinha💛🦒#amigurumi #crochet ;"Mari Oliveira
ATELIÊ  💛Girafinha🦒";2026-06-18 20:08:34;1781813314;no;no;no;no;no;Youre So Fine;7639009928292420374;https://v16-webapp-prime.tiktok.com/video/tos/no1a/tos-no1a-v-2370-no/oIPJEzkJAUVzeADwFAgFxAx8EfN4qVEBXAcuDC/?a=1988&bti=ODszNWYuMDE6&&bt=125&ft=GNDpcInz7Th8bzWGXq8Zmo&mime_type=audio_mpeg&rc=ams2OHE5cjhtOzMzbzU8NUBpams2OHE5cjhtOzMzbzU8NUBtLnNjMmRjYi5hLS1kMTFzYSNtLnNjMmRjYi5hLS1kMTFzcw%3D%3D&expire=1786120383&l=2026080723300738893901676D6B9314FE&ply_type=3&policy=3&signature=512a46bb3251fb74e7e7cf0dd006ce9f&tk=0&btag=e00050000;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/c9c2e45fd7ec8be66fe7ed7fbc35131c~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=1c6c446e&x-expires=1786287600&x-signature=pfZ%2F%2BgMxJ9msjbJL%2F9O%2BmTcmGYU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;KØRP;;https://www.tiktok.com/@marioliveiraatelie/video/7652829874108878087;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/o07voEPAEIYGAAnAxqAQVAQiBjRRaBUDiVmE0~tplv-tiktokx-origin.image?dr=14575&x-expires=1786287600&x-signature=yh7NDUNH1DC3%2Bjtoporp5xDV%2BNY%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;92100;766;8869;4700000;amigurumi,crochet;amigurumi,crochet;;;;
https://www.tiktok.com/search?q=#amigurumi&t=1786116607011;7379335242047409413;7379335242047409413;artenoape;Mayara Prado;40700;503;55;https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/12458f612816cbfdc2a03b23acf4ab33~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=ed32dfdb&x-expires=1786287600&x-signature=O6XFHZpyk0nCcdCVdE69A11yd%2Bw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Resultado do meu Shrek em amigurumi 🍺💚✨ Lançamento do e-book em julho 🧶  Em breve: Fiona 😮‍💨🌻 🚫não faço encomenda, apenas vendo a receita/ensino o passo a passo #shrek #shrekamigurumi #croche #amigurumi #crochet #atelie #artesanato #CapCut #crochê ;;2024-06-11 19:49:39;1718135379;no;no;no;no;no;Accidentally in Love;6705230820174564102;;https://p16-sign-sg.tiktokcdn.com/tos-alisg-v-2774/091e349fc30b481f95f70d7623b44fb4~720x720.jpeg?lk3s=08d74b56&x-expires=1786138208&x-signature=dTywFMciVlcxj07gNGojiv0AaBY%3D;Countdown Singers;https://webapp-sg.tiktok.com/ca03983e64a879f83af7549ef2892977/6a789d0c/kmoat/mps/logo/v2/r/p/v09044g40000cpkajffog65gdf5rs550/75666a80539b4165979a883ede7abdaa/1cacec462fecc3b969ec6d4176719be2/mp4/main.mp4?a=1988&bti=ODszNWYuMDE6&&bt=0&ft=bLZkAmrMPD12NxzDvn-UxGe5PY6e3wv25UcAp&mime_type=video_mp4&rc=cnF8b2hsc2d3SkBwaHIxaDFybndmZGdkaGg7ZDo4NGU2M2Q5OEBpMzh1aWo5cmlkczMzNzczM0BjRl5Nc3FePmJKYSNvYF90aHFmOiNeXzRhMDU2NjMxNjI1MzM0YSMycDJhMmRjZ2hgLS1kMTZzcw%3D%3D&definition=720p&du=13&item_id=7379335242047409413&l=2026080723300738893901676D6B9314FE&logo_type=tiktok&ply_type=2&policy=eyJ2bSI6MiwiY2siOiJ0dF9jaGFpbl90b2tlbiJ9&user_text=artenoape&btag=e000b0000;https://www.tiktok.com/@artenoape/video/7379335242047409413;https://p16-common-sign.tiktokcdn.com/tos-maliva-p-0068/8efc63b4efe741bd8616bb35c51164cf_1718135381~tplv-tiktokx-origin.image?dr=14575&x-expires=1786287600&x-signature=NMeJDCdQZvg4eaEUh0T5AnbulH0%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;785000;1651;92000;8800000;shrek,shrekamigurumi,croche,amigurumi,crochet,atelie,artesanato,CapCut,crochê;shrek,shrekamigurumi,croche,amigurumi,crochet,atelie,artesanato,CapCut,crochê;;;;
https://www.tiktok.com/search?q=#amigurumi&t=1786116607011;7541370878601301254;7541370878601301254;ribeiihellen;ribeiihellen;106100;35;447;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/d811e085691d24278ab3f3fa9650ddf1~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=676c10ce&x-expires=1786287600&x-signature=kC4byHVbwrfloWlUse0aXuSAPMc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;✨ Curso de Amigurumi para iniciante 🧶 Aprenda do zero e faça suas primeiras peças lindas ainda essa semana! 🌟 👉 Link na bio!;;2025-08-22 12:00:00;1755864000;no;yes;no;no;no;som original - ribeiihellen;7541370889774877496;https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-v-27dcd7/o0mRPentBE4fRTcUgQLKUqSGJepY7dKICoClQY/?a=1988&bti=ODszNWYuMDE6&&bt=125&ft=GNDpcInz7Th8bzWGXq8Zmo&mime_type=audio_mpeg&rc=NTRnN2k8M2U3ODVnNGQ8O0BpamZ1b3k5cnM4NTMzNzU8M0A1MV4vX2AwNjQxMC9fYTU2YSMvbzNtMmQ0NmhhLS1kMTZzcw%3D%3D&expire=1786120242&l=2026080723300738893901676D6B9314FE&ply_type=3&policy=3&signature=eb7cf504df3718d2147d7814fe131f3e&tk=0&btag=e00050000;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/d811e085691d24278ab3f3fa9650ddf1~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=887dc7d1&x-expires=1786287600&x-signature=w9J2gHLAPY0wmJMu5lIMvocKRhM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;ribeiihellen;https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c002/ogQJivifVEN3FeYvI4HmFkgAgfHLeoKTn4AAWk/?a=1988&bti=ODszNWYuMDE6&&bt=1381&ft=-Csk_mrMPD12NxzDvn-UxGe5PY6e3wv25UcAp&mime_type=video_mp4&rc=Z2ZpNjg0OzQ0PDZmaWY4NEBpand4eHY5cjQ4NTMzNzgzM0AzMV5gMV9jNTYxLjAvX18vYSNzZ19pMmQ0NWhhLS1kLzZzcw%3D%3D&expire=1786289442&l=2026080723300738893901676D6B9314FE&ply_type=2&policy=2&signature=70db5b17b126b68023b371ec2918be10&tk=tt_chain_token&btag=e00088000;https://www.tiktok.com/@ribeiihellen/video/7541370878601301254;https://p16-common-sign.tiktokcdn.com/tos-maliva-p-0068/oMyqKAAKRFC7C7eQEoLIgiGvEUArTfAQI7emSK~tplv-tiktokx-origin.image?dr=14575&x-expires=1786287600&x-signature=S2ZBDPP%2FLTNxdLRLSdoN9mM5Sl8%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;294300;963;14200;4700000;;;;;;
https://www.tiktok.com/search?q=#amigurumi&t=1786116607011;7238687636682968321;7238687636682968321;bahar.gurumi;BAHAR🧶;107800;4830;135;https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/01134bfff7c5c46bf91c2db12cc11480~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=7d9eff7c&x-expires=1786287600&x-signature=Mwgd3OQKZ5fT8o0T8qRV4HL51q8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;#luffy #amigurumi #fyp #foryou #crochet #كروشيه ;Luffy♥️;2023-05-29 19:25:10;1685388310;no;no;no;no;no;оригінальний звук;7147351450325175046;https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-v-27dcd7/361c4a219cb84b0b9c5966ab1f78361a/?a=1988&bti=ODszNWYuMDE6&&bt=125&ft=GNDpcInz7Th8bzWGXq8Zmo&mime_type=audio_mp4&rc=Mzd5aTc6Zmw6ZjMzNzU8M0BpMzd5aTc6Zmw6ZjMzNzU8M0BuZC9icjQwcGxgLS1kMTZzYSNuZC9icjQwcGxgLS1kMTZzcw%3D%3D&expire=1786120233&l=2026080723300738893901676D6B9314FE&ply_type=3&policy=3&signature=67de20f6cf26fda35eca7e272af6c7cf&tk=0&btag=e00078000;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/15c157eaf8bd1b7ead4e44a4a8625dd9~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=160a73b5&x-expires=1786287600&x-signature=JVSka70NI4yb%2BaemVSxvDX9yyyo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;demchukmusic;;https://www.tiktok.com/@bahar.gurumi/video/7238687636682968321;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/f0b14a6b0ad54b62914610fe95a9f224_1685388312~tplv-tiktokx-origin.image?dr=14575&x-expires=1786287600&x-signature=UKdJNlrokh0QmFyZwkKZ1RGgZXI%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;180400;1077;11500;1900000;luffy,amigurumi,fyp,foryou,crochet,كروشيه;luffy,amigurumi,fyp,foryou,crochet,كروشيه;;;;
https://www.tiktok.com/search?q=#amigurumi&t=1786116607011;7519582179895168312;7519582179895168312;mauro_saar;Mauro Saar;36200;18800;1239;https://p19-common-sign.tiktokcdn.com/tos-maliva-avt-0068/cfc52740345fac5894194bfbedd6df65~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=e6b6a55e&x-expires=1786287600&x-signature=ttzH25DLFEnn8CbRh7rMR0aO%2BLA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Queria fazer amigurumi? Agora vai fazer! 🧶🧶🧶 #amigurumi #tutorial #iniciante #crochet #amigurumidozero ;EP 1;2025-06-24 18:19:25;1750789165;no;no;no;no;no;Sunny Ukulele Serenade;7369847750844172304;https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/o0e1VGAU2XegKFAXFZCNmfARsQgf8GQMxb1kAI;https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/oUfmLhWoPAAiwqsEAEHA9AB2CPdwqzntBWs8iB.jpeg;Famsound;https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-ve-37c813-sg/oQUSvB7EQc6iprr9E7ETFSaliOQuaWALBIaQB/?a=1988&bti=ODszNWYuMDE6&&bt=1292&ft=-Csk_mrMPD12NxzDvn-UxGe5PY6e3wv25UcAp&mime_type=video_mp4&rc=ZGlkZmQ5NWczaDk0ODo0PEBpajRkb3c5cm1oNDMzNzczM0BfMzQwYi9hXjQxMjA1NF9gYSNmcGdxMmRramFhLS1kMTZzcw%3D%3D&expire=1786289498&l=2026080723300738893901676D6B9314FE&ply_type=2&policy=2&signature=878a5c1fa64f9c8e7f4096515e7648fb&tk=tt_chain_token&btag=e00090000;https://www.tiktok.com/@mauro_saar/video/7519582179895168312;https://p19-common-sign.tiktokcdn.com/tos-maliva-p-0068/o4BREaaBi7Y7sHA7AAVArtQE6FsvBFiaiUIBI~tplv-tiktokx-dmt-logom:tos-useast2a-v-0068/oorABiwCEiQaPB6YO5siBAHIEAa7UAcBvZLF1.image?dr=14573&x-expires=1786287600&x-signature=PcDTdZNwu%2FJYTAfQL3xM95cLWBE%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;24500;396;1904;495800;amigurumi,tutorial,iniciante,crochet,amigurumidozero;amigurumi,tutorial,iniciante,crochet,amigurumidozero;;;;
https://www.tiktok.com/search?q=#amigurumi&t=1786116607011;7536289519507623173;7536289519507623173;diva_crochetaria;•Vanessa •;91200;43600;1023;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/cc5bb99b264551c40dfd3baa7e73fec8~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=cbf86192&x-expires=1786287600&x-signature=PzGdCvFzTMpbss5mCAtMbRTKFqM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Tutorial lá no canal: diva Crochetaria  #crochetersoftiktok #amigurumi #stitchamigurumi #stitch #tutorial #crocheteiras #stich ;;2025-08-08 18:52:24;1754679144;no;no;no;no;no;som original;7536289492866845446;https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-v-27dcd7/osAVAfJEBgC0iAYK1WiRyWE2SAkEx17oxtE9OB/?a=1988&bti=ODszNWYuMDE6&&bt=125&ft=GNDpcInz7Th8bzWGXq8Zmo&mime_type=audio_mpeg&rc=ajw2a2s5cnQ3NTMzNzU8M0Bpajw2a2s5cnQ3NTMzNzU8M0BuajBsMmRzYl9hLS1kMTZzYSNuajBsMmRzYl9hLS1kMTZzcw%3D%3D&expire=1786120274&l=2026080723300738893901676D6B9314FE&ply_type=3&policy=3&signature=fe584321b62e47ae8ce081baee701ef4&tk=0&btag=e00050000;https://p19-common-sign.tiktokcdn.com/tos-maliva-avt-0068/cc5bb99b264551c40dfd3baa7e73fec8~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=07bf60ea&x-expires=1786287600&x-signature=vSH4YdJMOMkD87GzbyVrglUE6pM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;•Vanessa •;;https://www.tiktok.com/@diva_crochetaria/video/7536289519507623173;https://p16-common-sign.tiktokcdn.com/tos-maliva-p-0068/oAf4WjaAgEAikKoj4CBTk0IgSIUMaSIAyiFCOo~tplv-tiktokx-origin.image?dr=14575&x-expires=1786287600&x-signature=5xv9Se%2Fvp0nn7z%2FwvGKm9iDtD1U%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;11000;238;1037;253900;crochetersoftiktok,amigurumi,stitchamigurumi,stitch,tutorial,crocheteiras,stich;crochetersoftiktok,amigurumi,stitchamigurumi,stitch,tutorial,crocheteiras,stich;;;;
https://www.tiktok.com/search?q=#amigurumi&t=1786116607011;7600764196090957076;7600764196090957076;ferpicrochet;Ferpi Crochet;49000;23700;502;https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/b89eac94824254eabafcf5f1c845a5d6~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=e5380cc8&x-expires=1786287600&x-signature=cOKCLgV8xhXb62Ja2pIul5ZziRQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;🌸✨ Suas mãos carregam histórias ✨🌸 Quando eu sonhei o meu primeiro curso, eu sabia que não queria apenas ensinar pontos. Eu queria ensinar um sentimento. Queria que cada pessoa que pegasse uma agulha sentisse o coração florescer…💐 Que cada ponto tivesse história… Que cada criação fosse mais do que um amigurumi, fosse um encontro consigo mesma. ❤️🧶🙏 E caminhar ao lado dos meus alunos tem sido a parte mais bonita dessa história. Ver cada um sentindo, ousando, criando, vivendo a própria fé pelas mãos…🙏🏽 Criar Santa Rita, Santa Terezinha, Santa Clara e Santa Cecília foi, e sempre será, uma honra que carrego com todo o meu coração. Cada uma com sua história, cada uma com sua luz… e ver essa luz nascendo nas mãos de vocês é indescritível. 🌹🏡 É assim que eu vejo o Alma de Algodão… uma alma que encontra outra alma… um jardim que cresce junto… uma luz que passa de mão em mão. ✨🙌💐 E você já imaginou fazer algo assim com suas próprias mãos? 🙌🏽  Materiais e acessórios @armarinhodajessely  . . #santarita #santateresinha #santaclara #santacecilia #santinhaamigurumi ;;2026-01-29 12:47:09;1769690829;no;no;no;no;no;Love Story - Indila (Fairy Version);7472559032520476673;https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/o4fZItfUR4RTG1nzt5BYMsa3gOi6BnC9sOBQli;https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/ogBCAi5AeE3s6itt8QWfCqk3YCAmBZgFznE9CB.jpeg;Daniela Mlčúchová;https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/o81S99aAEAArQjKUAIFCeqoDQfAeL11EDICd7E/?a=1988&bti=ODszNWYuMDE6&&bt=1273&eid=20480&ft=-Csk_mrMPD12NxzDvn-Uxfe5VY6e3wv25DcAp&mime_type=video_mp4&rc=ZjZoNDw5aGU7ZWQ6NmQ5N0BpM3gzO285cjdvODMzODczNEAwLy02YDQvNS0xXjItYmMvYSMuXy1xMmQ0YXFhLS1kMTFzcw%3D%3D&expire=1786289433&l=2026080723300738893901676D6B9314FE&ply_type=2&policy=2&signature=8b31b8a504d63ab87e58ae56a0770803&tk=tt_chain_token&btag=e000b8000;https://www.tiktok.com/@ferpicrochet/video/7600764196090957076;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/osVINEVDAlAE0beFfASjDAA7Ez7kseIM1KqB8o~tplv-tiktokx-origin.image?dr=14575&x-expires=1786287600&x-signature=P8F1QXdVtBtjLacMHycvuZbIpdo%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;18700;517;1778;627500;santarita,santateresinha,santaclara,santacecilia,santinhaamigurumi;santarita,santateresinha,santaclara,santacecilia,santinhaamigurumi;;;;
https://www.tiktok.com/search?q=#amigurumi&t=1786116607011;7395989348648373510;7395989348648373510;fiosdaamanda_atelie;Fios da Amanda - Ateliê;19300;567;227;https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/b96487c7009d6bfd9491be5162a5cf36~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=5feb5a0d&x-expires=1786287600&x-signature=cAP8vSm4XOdrN5XtxGgFPBGMclo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;✨Jesus amigurumi 🥹🙏🏻 Fala senão é um presente perfeito 😍❤️ . . . Lista de espera para encomendas no link da bio! 🛍️📦 Envio para todo Brasil e exterior com consulta de frete. 📝 Padrão : @ferpicrochet  🚫Não vendo receitas! 🚫 Não trabalho com valor de atacado! Produto feito a mão ✋ Por ser um produto artesanal o valor pode sofrer alteração dependendo da customização da peça! #jesuslovesyou #jesuscristo #jesus #jesusteama❤ #santinhosdecroche #artesanato #artesacra #handmad #croche #bonecodecroche ;;2024-07-26 16:56:06;1722012966;no;no;no;no;no;Flowers;7353123047643842576;https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/owqKzmLABMDPWkyZBuiOoHs38AfVz1AIikwdWc;https://p77-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/oQAEOalmE7etQBEBiRIDfBxZpiCFAAWgA4MnEy.jpeg;Samantha Ebert;;https://www.tiktok.com/@fiosdaamanda_atelie/video/7395989348648373510;https://p16-common-sign.tiktokcdn.com/tos-maliva-p-0068/oQgAEBfEwQoSmi3JeICUR4ALAhEKFDEADkC91j~tplv-tiktokx-origin.image?dr=14575&x-expires=1786287600&x-signature=8XPixZ3QNk92SokeoshOL%2Bp3imQ%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;12000;182;2738;334600;jesuslovesyou,jesuscristo,jesus,jesusteama❤,santinhosdecroche,artesanato,artesacra,handmad,croche,bonecodecroche;jesuslovesyou,jesuscristo,jesus,jesusteama❤,santinhosdecroche,artesanato,artesacra,handmad,croche,bonecodecroche;;;;
