Hashtag,Qtd. de posts,Curtidas médias,Engajamento médio,Visualizações (total)
rock,1,7817.0,25.2,31900
major,1,7817.0,25.2,31900
joiasdobairo,1,7817.0,25.2,31900
alextelles,1,2746.0,24.8,11500
ídolo,1,2746.0,24.8,11500
ny,1,3120.0,22.3,14400
uniforme,1,1198.0,21.7,5609
lançamento,1,1198.0,21.7,5609
oídolofica,3,2442.6666666666665,20.1,41166
fyp,2,220285.5,20.1,3334600
estadio,1,6035.0,20.0,31700
clássico,1,9080.0,19.8,47600
mizuno,2,1371.5,19.8,14346
golaço,1,1993.0,19.7,10400
kadir,1,70700.0,19.6,377400
panamá,1,70700.0,19.6,377400
fifaworldcup,1,1420.0,19.5,7413
baby,1,12000.0,19.2,65300
matchday,1,12000.0,19.2,65300
diadefogo,1,12000.0,19.2,65300
preparação,1,1855.0,19.2,9876
libertadores,3,17466.666666666668,18.6,309800
mc,1,10300.0,18.4,58600
dianacionaldocantor,1,10300.0,18.4,58600
funk,1,10300.0,18.4,58600
run,1,550.0,18.3,3074
camisa,2,5822.5,18.3,65537
botafogo132anos,1,3326.0,17.7,19800
aniversario,1,3326.0,17.7,19800
nba,1,2964.0,17.7,17300
contratação,1,1125.0,17.6,6587
joiadobairro,1,4939.0,17.5,29300
torcida,2,5309.0,17.2,58400
cpreventos,1,1106.0,17.2,6863
botafogorun,1,1106.0,17.2,6863
campeonatobrasileiro,2,7536.0,17.2,89700
físico,1,1804.0,17.1,10700
morumbis,1,29400.0,16.9,188300
gol,12,9453.666666666666,16.9,657758
bomdia,1,4986.0,16.4,31100
austria,1,703.0,16.2,4456
gloriosacamisa,4,5913.25,16.1,153916
botafogo,71,4441.070422535211,16.1,1962964
brasileirao,10,13758.5,16.0,956051
copadomundo,8,2632.375,15.8,120526
bronx,1,456.0,15.6,2990
vamosbotafogo,42,3554.1666666666665,15.5,1110095
homenagem,1,67600.0,15.5,442900
flaviasaraiva,1,67600.0,15.5,442900
ginastica,1,67600.0,15.5,442900
luizgonzaga,1,67600.0,15.5,442900
treino,11,1634.1818181818182,15.5,137724
futebol,61,4625.704918032787,15.4,1839756
gk,2,1137.0,15.4,14868
jogo,1,1089.0,15.3,7246
edits,1,1089.0,15.3,7246
copa,1,3302.0,15.2,22600
kpop,1,4959.0,15.2,36200
bts,1,1526.0,15.1,11400
music,1,1526.0,15.1,11400
dribles,1,2222.0,14.8,16100
tango,1,2222.0,14.8,16100
skills,1,2222.0,14.8,16100
worldcup,8,2613.25,14.7,124489
tiktokesportes,81,5579.0123456790125,14.7,5201554
remo,3,11023.666666666666,14.7,379437
base,1,3918.0,14.6,27600
croacia,1,1538.0,14.6,10800
samuellino,1,37500.0,14.5,266200
bfr,41,2218.560975609756,14.5,595187
corrida,2,433.5,14.3,6286
caboverde,1,2689.0,14.1,19700
egypt,1,856.0,14.1,6135
telles,1,2776.0,14.0,20600
curacao,1,901.0,13.9,6577
fogonacopa,43,2131.3953488372094,13.8,709279
psg,3,6916.333333333333,13.7,163600
usa,2,1093.5,13.7,15894
edit,1,431700.0,13.7,3300000
2016,1,431700.0,13.7,3300000
lyricsvideo,1,431700.0,13.7,3300000
coldplay,1,431700.0,13.7,3300000
football,2,4116.0,13.5,103013
copadomundo2026,2,1999.0,13.4,30900
vaibrasil,2,1999.0,13.4,30900
presente,1,3020.0,13.3,23400
taliberadoacreditar,1,2425.0,13.2,18700
japan,1,2425.0,13.2,18700
torvi,1,2224.0,13.2,17200
pênalti,1,2224.0,13.2,17200
estrelasemjogo,1,2224.0,13.2,17200
diadosnamorados,1,520.0,13.1,4117
amor,1,520.0,13.1,4117
saudiarabia,1,521.0,12.8,4141
danilopereira,1,1723.0,12.8,13800
atacante,1,1723.0,12.8,13800
