Hashtag,Qtd. de posts,Curtidas médias,Engajamento médio,plays_total
pov,1,1155.0,0.007542296718574572,3947
fp,1,191.0,0.004382559001244021,2189
darkcrochet,1,156.0,0.0024196248861300044,2635
bts,2,3165.0,0.0018423060956134947,72236
btsarmy,2,3165.0,0.0018423060956134947,72236
jimin,1,197.0,0.0018085685805727739,3597
boneca,3,711.0,0.0017091190518362307,40289
amigurumibrasil,5,41445.2,0.0016223064180565564,2187431
artesanato,8,105557.5,0.0010134222102003165,10424547
crochê,4,198026.75,0.000912700347280133,8961136
crochetbunny,3,323252.0,0.0008088383740460797,11302635
trend,1,361.0,0.0007815214321624079,6927
capcut,1,361.0,0.0007815214321624079,6927
rainhaelizabeth,1,2801.0,0.0006689342403628117,21000
handmade,6,5779.666666666667,0.0006079424388760329,1336736
croche,18,66178.72222222222,0.0005966040843715967,16562582
amigurumilove,9,54106.333333333336,0.0005950229566232335,4139089
ursinhoscarinhosos,2,6680.5,0.0004605511434062089,105327
fypシ,2,2290.0,0.00044745729696849836,69127
amigurumi,66,86124.72727272728,0.00036884314680134034,70822431
foryoupage,3,500385.3333333333,0.0003171637520877143,11230127
duck,1,4424.0,0.0003048262001082223,39400
giftideas,1,4424.0,0.0003048262001082223,39400
fyp,14,52752.0,0.00026738443536341395,8234224
ursofiodemalha,1,3175.0,0.00022784664830119376,39600
ursoamigurumi,1,3175.0,0.00022784664830119376,39600
crocheteira,1,131.0,0.00020546551082164984,8284
linhaparaamigurumi,1,131.0,0.00020546551082164984,8284
linhadecroche,1,131.0,0.00020546551082164984,8284
fioamigurumi,1,131.0,0.00020546551082164984,8284
crochet,56,95224.39285714286,0.0001942951478436788,61744451
artesanatobrasil,1,1720.0,0.00017923834314169306,37600
passoapasso,2,1720.0,0.00017923834314169306,75200
feitoamao,1,1720.0,0.00017923834314169306,37600
amigurumipassoapasso,1,1720.0,0.00017923834314169306,37600
linhasdeexpressão,1,1720.0,0.00017923834314169306,37600
aprendacroche,1,1720.0,0.00017923834314169306,37600
bonecaamigurumi,1,795.0,0.00016869797859690844,23200
diy,1,795.0,0.00016869797859690844,23200
smallbusiness,2,29562.0,0.00015561605005411116,1039400
zepilintra,1,6522.0,0.00015210997497441543,68200
pontosdeumbanda,1,6522.0,0.00015210997497441543,68200
umbanda,1,6522.0,0.00015210997497441543,68200
law,1,2502.0,0.00014603557835789614,42300
handicap,1,5484.0,0.00014005832431964214,67100
btsamigurumi,1,5484.0,0.00014005832431964214,67100
charmander,1,8222.0,0.0001334495247313683,82700
pikachu,1,8222.0,0.0001334495247313683,82700
pokemon,1,8222.0,0.0001334495247313683,82700
crocheterapia,3,2377.6666666666665,0.00012272865258725174,288900
crocheting,2,5842.0,0.0001221266278922299,325800
tejer,2,5822.5,0.00012000741351696231,273700
