hashtags,qtd_posts,curtidas_medias,engajamento_medio
grwm,177,211383.2824858757,0.11239483078265229
grwmmakeup,26,54408.5,0.08893168850496841
arrumesecomigo,26,35048.61538461538,0.08687518480877446
girls,36,320362.27777777775,0.08584307071508741
fy,86,143747.2558139535,0.0834256475066848
fypシ,38,97386.78947368421,0.0788105825586371
fyp,342,182275.33625730994,0.07741914353317889
creatorsearchinsights,44,17539.636363636364,0.07436000483514221
tutorial,110,204248.66363636364,0.07332139487388706
foryou,145,163638.44137931033,0.07316547865649636
viral,126,112578.36507936507,0.07108502000484815
beauty,38,440696.5263157895,0.07018159752683083
trend,23,457567.47826086957,0.06917653581068114
foryoupage,75,193389.57333333333,0.06888263213703755
makeup,550,161660.9418181818,0.0672125920509335
morena,22,23325.0,0.0633252151944366
viralvideo,28,172861.0357142857,0.06302713812280338
makeuptutorial,202,189101.9801980198,0.06220403847823066
makeuproutine,28,97272.21428571429,0.0600706417537219
maquillaje,24,159945.33333333334,0.05793683850398432
maquiagem,290,41458.7724137931,0.05227215070162989
make,110,81537.31818181818,0.051684670366649005
makeuplook,24,115445.08333333333,0.04668564712042461
makeupinspo,26,114810.46153846153,0.04207046728540123
maquiagemtiktok,35,57194.77142857143,0.041086985722161094
tiktok,22,130428.22727272728,0.0387772213158645
dicasdebeleza,20,8871.75,0.03021097073022666
beleza,37,4850.918918918919,0.024662363974326498
tiktokshop,24,2867.125,0.014232159379957985
