collected_from_url;id;thread_id;author;author_full;author_followers;author_likes;author_videos;author_avatar;body;stickers;timestamp;unix_timestamp;is_duet;is_ad;is_paid_partnership;is_sensitive;is_photosensitive;music_name;music_id;music_url;music_thumbnail;music_author;video_url;tiktok_url;thumbnail_url;likes;comments;shares;plays;hashtags;challenges;diversification_labels;location_created;effects;warning
https://www.tiktok.com/search?q=#makeup&t=1787151195683;7671383462988811533;7671383462988811533;itsariannetorres;Arianne;3000000;17300;2066;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/4bcc92eb1c5c5a9e1859f9c12562d053~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=feab2063&x-expires=1787320800&x-signature=48rfXyRPGf%2B%2BOucUS5dtKyE2%2BuU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;#makeup #makeuptutorial #transition #makeuptransformation #beauty ;My cry baby makeup;2026-08-07 20:06:12;1786133172;no;no;no;no;no;original sound - DooWopDave;7564311056572123918;https://v16-webapp-prime.tiktok.com/video/tos/maliva/tos-maliva-ve-27dcd7c799-us/oQbDUIeoTYnEDkB8l0QgvfMRuueXQHv6CA1mG8/?a=1988&bti=ODszNWYuMDE6&&bt=125&ft=GNDpcInz7Thj6ZYGXq8Zmo&mime_type=audio_mpeg&rc=PGU0aTs5NDxoZTU1ZWVpOEBpam95aXY5cm93NjMzZzU8NEA0Yy1eMTAtX14xYTUxNjZhYSM0LmNqMmRzNnBhLS1kMS9zcw%3D%3D&expire=1787155122&l=20260819225356E1985B5324A77D1C1631&ply_type=3&policy=3&signature=5d77ac808a4afbaf66c449abd2069ba2&tk=0&btag=e00098000;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/a602ecd311ba55ceb3e6b00b3fe5bf26~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=cc75f1a5&x-expires=1787320800&x-signature=oymJuuJgitOm2SJpyU61j8WT0YQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;DooWopDave;https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-ve-37c799-sg/ogIQRkLeHeJgqKIjr67UjALRoQJGJnAHAPTfYC/?a=1988&bti=ODszNWYuMDE6&&bt=2568&ft=-Csk_mrMPD12NSVR_n-Ux~-FWY6e3wv25IcAp&mime_type=video_mp4&rc=aGdlNmkzaTdpNDY1PGhpZkBpM2xkZm45cmc2PDMzZzczNEBjNjBhLWAzNjExYTExMWMyYSNhNGdwMmRjaG9hLS1kMS9zcw%3D%3D&expire=1787324049&l=20260819225356E1985B5324A77D1C1631&ply_type=2&policy=2&signature=db6f388e907b9789d3f168fad728bbab&tk=tt_chain_token&btag=e000b0000;https://www.tiktok.com/@itsariannetorres/video/7671383462988811533;https://p16-common-sign.tiktokcdn.com/tos-useast5-p-0068-tx/oo0CjRiOyIBqa0GA0atwfyi412ItIPaBpg5xOA~tplv-tiktokx-origin.image?dr=14575&x-expires=1787320800&x-signature=jovJcKNnU7%2BR%2BX%2BQZq%2BGMxp%2BU1E%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;83700;1369;1178;1300000;makeup,makeuptutorial,transition,makeuptransformation,beauty;makeup,makeuptutorial,transition,makeuptransformation,beauty;;;;
https://www.tiktok.com/search?q=#makeup&t=1787151195683;7672909711104167190;7672909711104167190;nadina_ioana;Nadina Ioana;16300000;24600;1052;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/000ec06f62dc7523e26c0ccfa4e07ce3~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=6da85e7c&x-expires=1787320800&x-signature=fpEOj%2Bf%2BKvwX2y7xsqXQo%2FTqF6U%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Natural foundation routine 🎀 #asmrmakeuptutorial#ASMRbeauty#asmrmaquillaje#foundationroutine  ;;2026-08-11 22:48:34;1786488514;no;no;no;no;no;original sound;7672909700584819478;https://v16-webapp-prime.tiktok.com/video/tos/no1a/tos-no1a-v-2370-no/oUZBYAa7AQNmsR1nBAilInJmEOABpukECPiLx/?a=1988&bti=ODszNWYuMDE6&&bt=125&ft=GNDpcInz7Thj6ZYGXq8Zmo&mime_type=audio_mpeg&rc=MzxqbW85cmt0PDMzbzU8NUBpMzxqbW85cmt0PDMzbzU8NUA1cGBnMmQ0YXFhLS1kMTFzYSM1cGBnMmQ0YXFhLS1kMTFzcw%3D%3D&expire=1787154862&l=20260819225356E1985B5324A77D1C1631&ply_type=3&policy=3&signature=2c278448f6a37cb8aee2dcdd55973ec9&tk=0&btag=e00078000;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/000ec06f62dc7523e26c0ccfa4e07ce3~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=7005498e&x-expires=1787320800&x-signature=r5Oxc3XD78Wbq7AEyX%2BCWkTfB9A%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Nadina Ioana;https://v16-webapp-prime.tiktok.com/video/tos/no1a/tos-no1a-ve-0068c001-no/oEIGU9goBpH0IDYFdJxLfegAI7Ia3SFQtAeLjT/?a=1988&bti=ODszNWYuMDE6&&bt=862&eid=5376&ft=-Csk_mrMPD12NSVR_n-Ux~-FWY6e3wv25IcAp&mime_type=video_mp4&rc=Zmg8Ojs1OzNkNjU7OjRoaEBpMzw8cHQ5cjt0PDMzbzczNUAwYmJiNDQ1NWMxXzI2YWBeYSMzcm8tMmRzYHFhLS1kMTFzcw%3D%3D&expire=1787324062&l=20260819225356E1985B5324A77D1C1631&ply_type=2&policy=2&signature=f92159793567947890e9b114935dc1d8&tk=tt_chain_token&btag=e000b8000;https://www.tiktok.com/@nadina_ioana/video/7672909711104167190;https://p16-common-sign.tiktokcdn.com/tos-no1a-p-0037-no/ocCbEI4VBDAspXAFA6FrLjUABIrAVFxeIffZ7E~tplv-tiktokx-dmt-logom:tos-no1a-i-0068-no/oYYpPvpIBsDiBmuwEp1wnAaOiAuB7DAABE6AB.image?dr=14573&x-expires=1787320800&x-signature=G5EWBXuxOCSQZJP2NJqJeqH0e6s%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;28900;239;624;492600;asmrmakeuptutorial,asmrbeauty,asmrmaquillaje,foundationroutine;asmrmakeuptutorial,asmrbeauty,asmrmaquillaje,foundationroutine;;;;
https://www.tiktok.com/search?q=#makeup&t=1787151195683;7666075177733917973;7666075177733917973;bridesbymaheentariqq;Maheen Tariq;53700;137;198;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/15a0278030fdf79f93f237d5490d3f89~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=98b35a38&x-expires=1787320800&x-signature=l5833wsVWQqvR9Ka%2BKNf4FVF6P0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Anayah in our signature glam! #bridesbymaheentariqq #makeuptutorial #tutorial ;;2026-07-24 12:47:02;1784897222;no;no;no;no;no;Radha;7454018631807354881;https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oQWqjSIwoIBiciQBNqsYxufugLBmAA1MrOazHy;https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/oQbysQFUzEoAWAA7BAuiZBLiEKBAs2BvOwfmZJ.jpeg;Hasan Raheem & Umair;https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-ve-37c815-sg/oEJ8IuiBckfAE4JQX1ajCzCEyLicpIAMo4AG5w/?a=1988&bti=ODszNWYuMDE6&&bt=1606&eid=20480&ft=-Csk_mrMPD12NSVR_n-Ux~-FWY6e3wv25IcAp&mime_type=video_mp4&rc=PDY0PGhlZ2RpZ2RnZmY6O0BpM20zZHI5cnZvPDMzODczNEAuXjA2Li4vXy8xYC4wXjVjYSMuNmFmMmRjcGVhLS1kMWBzcw%3D%3D&expire=1787324094&l=20260819225356E1985B5324A77D1C1631&ply_type=2&policy=2&signature=daceb5ef208d0b8ebf4c38bc07f672ec&tk=tt_chain_token&btag=e00088000;https://www.tiktok.com/@bridesbymaheentariqq/video/7666075177733917973;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/ogBjAOBhIBFMjEiasfIXCN2Ai9C0awIAAVAAi1~tplv-tiktokx-origin.image?dr=14575&x-expires=1787320800&x-signature=06U2kzFKpdhWOUGCcgse6%2BGv4HU%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;83400;425;1683;2400000;bridesbymaheentariqq,makeuptutorial,tutorial;bridesbymaheentariqq,makeuptutorial,tutorial;;;;
https://www.tiktok.com/search?q=#makeup&t=1787151195683;7657162007962979591;7657162007962979591;a.fla.loira;FLAVIA;12100;1573;1218;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/0e0200f6ba89f43503389d8435f50ff7~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=03c1978a&x-expires=1787320800&x-signature=oRpBh0YtV4M8Ecpps2NJnCwrvPc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Kit Mágico viral 🥰 #blush #makeup #maquiagem #lipbalm #makefacil ;" LINDOS, BARATINHOS 
E VIRAIS";2026-06-30 12:19:25;1782821965;no;no;no;no;no;som original;7657162075730545425;https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-v-27dcd7/osAC1XQfJqEPCQBJBTDHZRF7AKTQgCvIvfaAIU/?a=1988&bti=ODszNWYuMDE6&&bt=125&ft=GNDpcInz7Thj6ZYGXq8Zmo&mime_type=audio_mpeg&rc=MzQ5eHE5cm91PDMzODU8NEBpMzQ5eHE5cm91PDMzODU8NEAxbWlvMmRzNS5hLS1kMS1zYSMxbWlvMmRzNS5hLS1kMS1zcw%3D%3D&expire=1787154887&l=20260819225356E1985B5324A77D1C1631&ply_type=3&policy=3&signature=ba10c0551236819151e6991a33244412&tk=0&btag=e00048000;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/0e0200f6ba89f43503389d8435f50ff7~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=0ea08e38&x-expires=1787320800&x-signature=FtQfpd61P18yZ%2FJNzJZBXBfljl0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;FLAVIA;;https://www.tiktok.com/@a.fla.loira/video/7657162007962979591;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/oI1BQFD9FnOOQtDErRbZABiEGlpIIUDfgq7eAE~tplv-tiktokx-origin.image?dr=14575&x-expires=1787320800&x-signature=qVLyno%2FA%2Fvazp7rPpizGveAk5ss%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;12000;438;1376;974600;blush,makeup,maquiagem,lipbalm,makefacil;blush,makeup,maquiagem,lipbalm,makefacil;;;;
https://www.tiktok.com/search?q=#makeup&t=1787151195683;7671719464882179346;7671719464882179346;anydomingues;Anydomingues;9503;2544;1330;https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/f2494b1ed311e63a2be833628d80f2d9~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=c1b1cf75&x-expires=1787320800&x-signature=tbk5odI6qmte26vjIWhCK0apA94%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Não tem como não se apaixonar por esse livro de maquiagem 🥹🩷 #maquiagem #tiktokshop #paleta #make #makeup ;;2026-08-08 17:49:51;1786211391;no;yes;yes;no;no;som original;7671719576463264519;https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-v-27dcd7/osfJEUxcQ8QXBAe3k5BCET6bgAFFBqC2dSDQAE/?a=1988&bti=ODszNWYuMDE6&&bt=125&ft=GNDpcInz7Thj6ZYGXq8Zmo&mime_type=audio_mpeg&rc=Mzc8Ong5cm5wPDMzODU8NEBpMzc8Ong5cm5wPDMzODU8NEA1Mms0MmQ0bG9hLS1kMS1zYSM1Mms0MmQ0bG9hLS1kMS1zcw%3D%3D&expire=1787154878&l=20260819225356E1985B5324A77D1C1631&ply_type=3&policy=3&signature=48af727d005012a2a1d28e781ac72696&tk=0&btag=e00048000;https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/f2494b1ed311e63a2be833628d80f2d9~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=5f383bd8&x-expires=1787320800&x-signature=BC0IoUf6BM5jQBAK2ZL%2B5s4U87o%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Anydomingues;;https://www.tiktok.com/@anydomingues/video/7671719464882179346;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/oEA3XAwOfAE9hYBHABI1CCB7biAKiCADZ7AIBz~tplv-tiktokx-origin.image?dr=14575&x-expires=1787320800&x-signature=TqN7bmOzbYqVv3%2BF5F8WnhVbbvc%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;236;0;17;9833;maquiagem,tiktokshop,paleta,make,makeup;maquiagem,tiktokshop,paleta,make,makeup;;;;
https://www.tiktok.com/search?q=#makeup&t=1787151195683;7669580427165814036;7669580427165814036;whosbeth_;Beth Fournier;2200000;54000;1133;https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/810abfbad9a57f52d4d494760912d4ff~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=fd0e1614&x-expires=1787320800&x-signature=8uhB8LWEOdAU0q6VCQ6rCo8ajJk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Replying to @Beth Fournier Cry baby makeup results 💧✨ #makeup #crybaby #makeuptransition #sadclown ;;2026-08-02 23:29:19;1785713359;no;no;no;no;no;original sound - DooWopDave;7564311056572123918;https://v16-webapp-prime.tiktok.com/video/tos/maliva/tos-maliva-ve-27dcd7c799-us/oQbDUIeoTYnEDkB8l0QgvfMRuueXQHv6CA1mG8/?a=1988&bti=ODszNWYuMDE6&&bt=125&ft=GNDpcInz7Thj6ZYGXq8Zmo&mime_type=audio_mpeg&rc=PGU0aTs5NDxoZTU1ZWVpOEBpam95aXY5cm93NjMzZzU8NEA0Yy1eMTAtX14xYTUxNjZhYSM0LmNqMmRzNnBhLS1kMS9zcw%3D%3D&expire=1787155122&l=20260819225356E1985B5324A77D1C1631&ply_type=3&policy=3&signature=5d77ac808a4afbaf66c449abd2069ba2&tk=0&btag=e00098000;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/a602ecd311ba55ceb3e6b00b3fe5bf26~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=cc75f1a5&x-expires=1787320800&x-signature=oymJuuJgitOm2SJpyU61j8WT0YQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;DooWopDave;https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-pve-0037c001/og00xQCQqBBMoUSvBfFEgKDLEbARJPwEIRfkU9/?a=1988&bti=ODszNWYuMDE6&&bt=1357&eid=20480&ft=-Csk_mrMPD12NSVR_n-Ux~-FWY6e3wv25IcAp&mime_type=video_mp4&rc=NzY7ZmloM2U7ZjwzaDs0ZEBpM25kd3k5cjV3PDMzODczNEAuX2FgYTA0XjMxXzUuYjRhYSM1NS81MmRzMmthLS1kMTFzcw%3D%3D&expire=1787324052&l=20260819225356E1985B5324A77D1C1631&ply_type=2&policy=2&signature=6eff8b3b057662773ee7f66ec32cefb8&tk=tt_chain_token&btag=e000b8000;https://www.tiktok.com/@whosbeth_/video/7669580427165814036;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/o8ebAJZG6URMQAIvpKmLDINGEfAQ3gjfWIoAAD~tplv-tiktokx-origin.image?dr=14575&x-expires=1787320800&x-signature=flDytxnXL%2BA5Sb%2F%2F3rZvu9R8His%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;283100;6645;6014;5000000;makeup,crybaby,makeuptransition,sadclown;makeup,crybaby,makeuptransition,sadclown;;;;
https://www.tiktok.com/search?q=#makeup&t=1787151195683;7663234416633777421;7663234416633777421;mostnonchalantgirl;adriana;57100;14000;1029;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/19f81697044276c7318e1c81a16d5142~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=0343cc21&x-expires=1787320800&x-signature=KYcYyGYV9jLMdTrMzwLJa22xZ1Q%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;clown makeup 😋 #creativemakeup #clown #clownmakeup #makeupartist #makeup ;;2026-07-16 21:03:32;1784235812;no;no;no;no;no;Taking Whats Not Yours by TV Girl;7164105370489735982;https://v16-webapp-prime.tiktok.com/video/tos/maliva/tos-maliva-v-27dcd7c799-us/20e52807611844369970f3863900bb8b/?a=1988&bti=ODszNWYuMDE6&&bt=125&ft=GNDpcInz7Thj6ZYGXq8Zmo&mime_type=audio_mp4&rc=Mzlqazo6ZnUzZzMzZzU8NEBpMzlqazo6ZnUzZzMzZzU8NEBpNi0xcjRvNGpgLS1kMS9zYSNpNi0xcjRvNGpgLS1kMS9zcw%3D%3D&expire=1787154863&l=20260819225356E1985B5324A77D1C1631&ply_type=3&policy=3&signature=ce29c34d67e7a82b3caac8ad8d5a75e7&tk=0&btag=e00078000;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/33e33cb88276e3f9300af8950afe68a5~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=e2968f07&x-expires=1787320800&x-signature=3zef47CLETkggFsjgWeY5ci%2BAGs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Audios with Potential;https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-ve-37c799-sg/oEWvRo8eDEVyCZ74AuFOkZjeJCfGU6HIEEAlIs/?a=1988&bti=ODszNWYuMDE6&&bt=508&ft=I~da4oKyD12NvYQf4zIxR9U_DlBF-UjNSmopiX&mime_type=video_mp4&rc=Nmk2NTlkNjtnO2YzPDxlNEBpMzx4PHc5cjpuPDMzZzczNEAzYjBfLl5iX2MxMS9hXzJhYSMucGFzMmRrYmBhLS1kMS9zcw%3D%3D&expire=1787324051&l=20260819225356E1985B5324A77D1C1631&ply_type=2&policy=2&signature=5d1372547edc4a30a3798b702021dcee&tk=tt_chain_token&btag=e000b8000;https://www.tiktok.com/@mostnonchalantgirl/video/7663234416633777421;https://p16-common-sign.tiktokcdn.com/tos-useast5-p-0068-tx/oEZA1IAQigHBlJwlB4J4aERiEAOByXHAvkIAE~tplv-tiktokx-origin.image?dr=14575&x-expires=1787320800&x-signature=XEZOR56VniIMwSf2xIrgvOizDtE%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;89300;128;3109;586100;creativemakeup,clown,clownmakeup,makeupartist,makeup;creativemakeup,clown,clownmakeup,makeupartist,makeup;;;;
https://www.tiktok.com/search?q=#makeup&t=1787151195683;7628739655030099221;7628739655030099221;nyh2804;✨🛍️Nycolle🛍️✨;84700;9982;748;https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/ed1759355a9cda296ae52f5849087f26~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=5e6c1ecd&x-expires=1787320800&x-signature=%2BCvULztdOomAwrCo1oArWbS2%2B%2BU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;#CapCut #makes#produtos#fyp#dailytrend @Ruby Rose Brasil @Mia Make @Febella Makeup @Quem Disse, Berenice? Espero que tenham gostado beijos todos as mães são incríveis 💖✨;;2026-04-14 22:06:20;1776204380;no;no;no;no;no;som original;7628740408805182226;https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-v-27dcd7/ocG3QI9IDQJrrBucgEfvC3AAiFxjApBU6guJNe/?a=1988&bti=ODszNWYuMDE6&&bt=125&ft=GNDpcInz7Thj6ZYGXq8Zmo&mime_type=audio_mpeg&rc=amg0Zmo5cnllOjMzODU8NEBpamg0Zmo5cnllOjMzODU8NEBfL2FgMmRjaWNhLS1kMS1zYSNfL2FgMmRjaWNhLS1kMS1zcw%3D%3D&expire=1787155637&l=20260819225356E1985B5324A77D1C1631&ply_type=3&policy=3&signature=d2c1313fa9921242322a882718e4c996&tk=0&btag=e00048000;https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/ed1759355a9cda296ae52f5849087f26~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=1e638190&x-expires=1787320800&x-signature=k6qomMooobE1l4rZoG2FqK0uW2o%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;✨🛍️Nycolle🛍️✨;https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-ve-37c815-sg/oMVIZeLvvgG57jFAOU3AedIQTeRBj02D4g9XuC/?a=1988&bti=ODszNWYuMDE6&&bt=901&eid=20480&ft=-Csk_mrMPD12NSVR_n-Ux~-FWY6e3wv25IcAp&mime_type=video_mp4&rc=ODw8ZGkzZmc5OjNkNjdpOkBpanVwNHI5cnFlOjMzODczNEAuYzIxMzY1XzExYGFgNjNeYSNuYG9uMmRjZ2NhLS1kMWBzcw%3D%3D&expire=1787324837&l=20260819225356E1985B5324A77D1C1631&ply_type=2&policy=2&signature=627bfcf91c03d7798667e8ead0f66d2f&tk=tt_chain_token&btag=e00088000;https://www.tiktok.com/@nyh2804/video/7628739655030099221;https://p16-common-sign.tiktokcdn.com/tos-alisg-p-0037/ogDoeufnD73rpFIE6SxBAdcqE3QBuQOgRMmKbP~tplv-tiktokx-origin.image?dr=14575&x-expires=1787320800&x-signature=35AWVhdgRQpkRI3Fo2%2F6dEMAsek%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;5169;156;146;193700;capcut,makes,produtos,fyp,dailytrend;CapCut,makes,produtos,fyp,dailytrend;;;;
https://www.tiktok.com/search?q=#makeup&t=1787151195683;7666217882950454542;7666217882950454542;stunatrilla;♛♛;1834;49200;9;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/08f7a25e52342ff428a572096de62695~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=0d82b92b&x-expires=1787320800&x-signature=tIDMlcTlWoJLlMwvrjDUjdRsDZk%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;#makeup #fyp #blowthisup #makemefamous #makeuptok ;"“ why are you 
always doing ur makeup ???”";2026-07-24 22:00:57;1784930457;no;no;no;no;no;original sound;7663672392274987790;https://v16-webapp-prime.tiktok.com/video/tos/maliva/tos-maliva-v-27dcd7c799-us/oQma1HgWfCEUsVBvADJqAXBf1EDSFUAPhtAEUp/?a=1988&bti=ODszNWYuMDE6&&bt=125&ft=GNDpcInz7Thj6ZYGXq8Zmo&mime_type=audio_mpeg&rc=ajZmO245cndnPDMzZzU8NEBpajZmO245cndnPDMzZzU8NEBzYy9sMmRjXmFhLS1kMS9zYSNzYy9sMmRjXmFhLS1kMS9zcw%3D%3D&expire=1787154868&l=20260819225356E1985B5324A77D1C1631&ply_type=3&policy=3&signature=65ac81300506afd8c7aec29b73dc1613&tk=0&btag=e00048000;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/e4c2ee92c85ac004b4f7b4263ac52572~tplv-tiktokx-cropcenter:1080:1080.jpeg?dr=14579&refresh_token=e269ada9&x-expires=1787320800&x-signature=s2AtaGDl0M1p0IhIP5V8pXJUjcg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;꒰ა ♫ ໒꒱;https://v16-webapp-prime.tiktok.com/video/tos/alisg/tos-alisg-ve-37c799-sg/oYOPKEjUIgk4NizBY4jExAIi91amkqEg6JPMB/?a=1988&bti=ODszNWYuMDE6&&bt=949&ft=I~da4oKyD12NvYQf4zIxR9U_DlBF-UjNSmopiX&mime_type=video_mp4&rc=OjU4ZGlnOzllPDM8NDY2NkBpMzs7Zm05cjd4PDMzZzczNEBhMF9gNDFgNWIxXmNiNmMwYSNmcDZpMmQ0LmVhLS1kMS9zcw%3D%3D&expire=1787324043&l=20260819225356E1985B5324A77D1C1631&ply_type=2&policy=2&signature=964340996c0bf5e56643fe9f84ed0e6b&tk=tt_chain_token&btag=e000b0000;https://www.tiktok.com/@stunatrilla/video/7666217882950454542;https://p16-common-sign.tiktokcdn.com/tos-useast5-p-0068-tx/oUfUvcjZIvDxUjEE24FCQQfJHIoiQACneRDkVA~tplv-tiktokx-origin.image?dr=14575&x-expires=1787320800&x-signature=yhQayQIT0tXLiBGJ%2FQPxhyUxDoc%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;20400;37;737;99100;makeup,fyp,blowthisup,makemefamous,makeuptok;makeup,fyp,blowthisup,makemefamous,makeuptok;;;;
https://www.tiktok.com/search?q=#makeup&t=1787151195683;7674599562144746766;7674599562144746766;crazy_maymay;crazymaymay;2100000;130;146;https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/f2a6421db31050923c07cfd2ac73520d~tplv-tiktokx-cropcenter:100:100.jpeg?dr=14579&refresh_token=17f51457&x-expires=1787320800&x-signature=vJNdmNwM4swZ0uf590nIB1MaR5E%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=my2;Makeup 101: Don‘t panic. Just blend.;;2026-08-16 12:07:17;1786882037;no;no;no;no;no;Cutie Little;7633762863832565810;https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/oYEZDiB3ZtAbGM0oWwiI4mBCkQkg11CLepfZ4v;https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/o4ZDPAJbCjAE4AApkJCFEQY8EBnfaAnwmgDlte.jpeg;Stella Gray;https://v16-webapp-prime.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/ogBCBQ4p8EAN6OanrWqNBfQ91wiwKABC1IZIwi/?a=1988&bti=ODszNWYuMDE6&&bt=1333&ft=-Csk_mrMPD12NSVR_n-Ux~-FWY6e3wv25IcAp&mime_type=video_mp4&rc=aGhpNTpoZWlmZDNlZWQ7O0BpanQ5PGo5cnZ0ZDMzZzczNEAwL15fXjI2NjYxMl9jMTJgYSNua28yMmRjYS1hLS1kMS9zcw%3D%3D&expire=1787324126&l=20260819225356E1985B5324A77D1C1631&ply_type=2&policy=2&signature=ded87446a77f245bb1736320d21644f5&tk=tt_chain_token&btag=e00090000;https://www.tiktok.com/@crazy_maymay/video/7674599562144746766;https://p16-common-sign.tiktokcdn.com/tos-useast5-p-0068-tx/oYn0VHgA3KGvAmAjgzIICxdGUkL9jArIe6fqeR~tplv-tiktokx-origin.image?dr=14575&x-expires=1787320800&x-signature=8rExXKvTTwDKho0pQm5cRNBTMN0%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=my2;576700;31200;528600;15800000;;;;;;
